GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
871987962,20190904,201909,2019,2019.6685,BHS,BAHAMA,BHS,,,,,,,,MNCCAN,BROOKFIELD ASSET MANAGEMENT,CAN,,,,,MNC,,,0,030,030,03,1,4.0,16,1,16,2.44200244200244,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,20190911,https://www.travelmarketreport.com/articles/Travel-Industry-Provides-Aid-to-Those-Affected-by-Hurricane-Dorian
870555049,20190904,201909,2019,2019.6685,MNCUSA,CARNIVAL CORPORATION,USA,,,,,MNC,,,BUS,COMPANY,,,,,,BUS,,,0,051,051,05,1,3.4,10,1,10,-0.82840236686391,4,"Coco Cay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,4,"Coco Cay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,4,"Coco Cay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,20190905,http://www.tribune242.com/news/2019/sep/04/cruise-lines-remain-committed-major-projects/
871847954,20190904,201909,2019,2019.6685,BHS,BAHAMA,BHS,,,,,,,,COPGOV,DEPUTY,,,,,,COP,GOV,,1,073,073,07,2,7.4,6,1,6,1.5748031496063,4,"Coopers Town, North Abaco, Bahamas, The",BF,BF46,26.8667,-77.5167,-1543050,4,"Coopers Town, North Abaco, Bahamas, The",BF,BF46,26.8667,-77.5167,-1543050,4,"Coopers Town, North Abaco, Bahamas, The",BF,BF46,26.8667,-77.5167,-1543050,20190911,https://www.kptv.com/news/local-non-profit-group-headed-home-after-helping-with-hurricane/article_2dac41d8-d415-11e9-86c5-efbd7bc9fbeb.html
871741835,20190903,201909,2019,2019.6658,BHS,BAHAMA,BHS,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,030,030,03,1,4.0,1,1,1,4.08653846153846,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,20190910,https://www.travelagentcentral.com/your-business/caribbean-resorts-continue-aid-to-bahamas-how-you-can-help
870371742,20190903,201909,2019,2019.6658,BHS,BAHAMA,BHS,,,,,,,,CVL,RESIDENTS,,,,,,CVL,,,0,020,020,02,1,3.0,5,1,5,-2.734375,4,"Water Cay, West Grand Bahama, Bahamas, The",BF,BF54,26.75,-78.5,-1544417,4,"Water Cay, West Grand Bahama, Bahamas, The",BF,BF54,26.75,-78.5,-1544417,4,"Water Cay, West Grand Bahama, Bahamas, The",BF,BF54,26.75,-78.5,-1544417,20190904,https://thenassauguardian.com/2019/09/03/five-dead-on-abaco/
870514139,20190904,201909,2019,2019.6685,BHS,BAHAMA,BHS,,,,,,,,BRB,BARBADOS,BRB,,,,,,,,1,020,020,02,1,3.0,1,1,1,0.47619047619048,1,Barbados,BB,BB,13.166667,-59.533333,BB,1,Barbados,BB,BB,13.166667,-59.533333,BB,4,"Nassau, New Providence, Bahamas, The",BF,BF23,25.0833,-77.35,-1543832,20190904,https://gisbarbados.gov.bb/blog/barbadians-urged-help-the-bahamas-with-cash-donations/
870514141,20190904,201909,2019,2019.6685,BHS,BAHAMA,BHS,,,,,,,,BRB,BARBADOS,BRB,,,,,,,,1,025,025,02,1,-0.3,1,1,1,0.47619047619048,1,Barbados,BB,BB,13.166667,-59.533333,BB,1,Barbados,BB,BB,13.166667,-59.533333,BB,4,"Nassau, New Providence, Bahamas, The",BF,BF23,25.0833,-77.35,-1543832,20190904,https://gisbarbados.gov.bb/blog/barbadians-urged-help-the-bahamas-with-cash-donations/
870345130,20190904,201909,2019,2019.6685,LAB,WORKER,,,,,,LAB,,,GOV,GOVERNMENT,,,,,,GOV,,,0,012,012,01,1,-0.4,2,2,2,-6.30105017502917,1,Turkey,TU,TU,39.059012,34.911546,TU,1,Bermuda,BD,BD,32.333333,-64.75,BD,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190904,https://www.fltimes.com/news/world/puerto-rico-braces-for-rain-power-outages-as-dorian-nears/article_df491b7d-8da2-5314-a4b2-0160d4ec546a.html
870322804,20190904,201909,2019,2019.6685,BUS,BUSINESS,,,,,,BUS,,,JAM,JAMAICAN,JAM,,,,,,,,1,051,051,05,1,3.4,2,1,2,-2.37341772151899,1,Jamaica,JM,JM,18.25,-77.5,JM,1,Jamaica,JM,JM,18.25,-77.5,JM,4,"Abaco, Central Abaco, Bahamas, The",BF,BF37,26.4667,-77.0833,-1542701,20190904,http://www.jamaicaobserver.com/article/20190904/ARTICLE/190909902/1056&template=MobileArticle
870325726,20190904,201909,2019,2019.6685,JAM,JAMAICA,JAM,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,153,153,15,4,-7.2,2,1,2,-2.26171243941841,1,Jamaica,JM,JM,18.25,-77.5,JM,1,Jamaica,JM,JM,18.25,-77.5,JM,4,"Abaco, Central Abaco, Bahamas, The",BF,BF37,26.4667,-77.0833,-1542701,20190904,http://www.jamaicaobserver.com/article/20190904/ARTICLE/190909902/1056
