GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
873391045,20190917,201909,2019,2019.7041,GOV,PRIME MINISTER,,,,,,GOV,,,BHSGOVHLH,HUBERT MINNIS,BHS,,,,,GOV,HLH,,1,070,070,07,2,7.0,2,1,2,1.98675496688741,1,India,IN,IN,20.0,77.0,IN,1,India,IN,IN,20.0,77.0,IN,4,"Abaco, Central Abaco, Bahamas, The",BF,BF37,26.4667,-77.0833,-1542701,20190917,http://www.tribune242.com/news/2019/sep/17/1m-donation-from-india/
873352333,20190917,201909,2019,2019.7041,USA,UNITED STATES,USA,,,,,,,,BHS,BAHAMA,BHS,,,,,,,,0,071,071,07,2,7.4,2,1,2,2.74869109947644,3,"Cincinnati, Ohio, United States",US,USOH,39.162,-84.4569,1066650,4,"Antilles, Bahamas, The (general), Bahamas, The",BF,BF00,20.0,-70.0,-1544444,4,"Antilles, Bahamas, The (general), Bahamas, The",BF,BF00,20.0,-70.0,-1544444,20190917,https://www.citybeat.com/arts-culture/theater/article/21087318/playhouse-in-the-parks-caribbeaninfused-once-on-this-island-is-vibrant-joyous
873366817,20190917,201909,2019,2019.7041,BHS,BAHAMIAN,BHS,,,,,,,,GOV,CHIEF EXECUTIVE,,,,,,GOV,,,0,040,040,04,1,1.0,10,1,10,-3.55078447563997,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,20190917,http://www.tribune242.com/news/2019/sep/17/minister-well-not-be-bpls-mercy-again/
873366822,20190917,201909,2019,2019.7041,BHSGOVEDU,DESMOND BANNISTER,BHS,,,,,GOV,EDU,,BUS,BUSINESS,,,,,,BUS,,,1,013,013,01,1,0.4,10,1,10,-3.55078447563997,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,20190917,http://www.tribune242.com/news/2019/sep/17/minister-well-not-be-bpls-mercy-again/
873367316,20190917,201909,2019,2019.7041,GOV,CHIEF EXECUTIVE,,,,,,GOV,,,BHS,BAHAMIAN,BHS,,,,,,,,0,040,040,04,1,1.0,10,1,10,-3.55078447563997,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,4,"Blue Hills, Bahamas, The (general), Bahamas, The",BF,BF00,25.05,-77.3833,-1542874,20190917,http://www.tribune242.com/news/2019/sep/17/minister-well-not-be-bpls-mercy-again/
873282028,20190917,201909,2019,2019.7041,MNCCAN,BROOKFIELD ASSET MANAGEMENT,CAN,,,,,MNC,,,NGOHLHIRC,RED CROSS,,IRC,,,,NGO,HLH,,1,0331,033,03,1,5.2,4,2,4,1.09894186537605,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,20190917,https://robbreport.com/travel/destinations/how-travel-industry-is-helping-bahamas-after-hurricane-dorian-2869196/
873281102,20190917,201909,2019,2019.7041,BHS,BAHAMA,BHS,,,,,,,,USA,CALIFORNIA,USA,,,,,,,,0,030,030,03,1,4.0,2,1,2,0.0,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,20190917,https://www.seatrade-cruise.com/news/news-headlines/hurricane-dorian-has-accelerated-cruise-lines-bahamas-plans-fain/
873364831,20190917,201909,2019,2019.7041,BHS,BAHAMA,BHS,,,,,,,,LAB,EMPLOYEE,,,,,,LAB,,,0,073,073,07,2,7.4,12,1,12,1.77664974619289,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,20190917,http://www.tribune242.com/news/2019/sep/16/aml-donates-275k-to-aid-staff-dorian-relief/
873365645,20190917,201909,2019,2019.7041,LAB,EMPLOYEE,,,,,,LAB,,,BHS,BAHAMA,BHS,,,,,,,,0,073,073,07,2,7.4,4,1,4,1.77664974619289,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,20190917,http://www.tribune242.com/news/2019/sep/16/aml-donates-275k-to-aid-staff-dorian-relief/
873366166,20190917,201909,2019,2019.7041,USA,PROVIDENCE,USA,,,,,,,,BHS,BAHAMA,BHS,,,,,,,,1,060,060,06,2,6.0,4,1,4,1.77664974619289,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,4,"Lucaya, Freeport, Bahamas, The",BF,BF25,26.5333,-78.6667,-1543685,20190917,http://www.tribune242.com/news/2019/sep/16/aml-donates-275k-to-aid-staff-dorian-relief/
