GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
872496600,20190912,201909,2019,2019.6904,GOV,MINISTRY,,,,,,GOV,,,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,1,051,051,05,1,3.4,8,1,8,-1.74880763116057,4,"Dundas Town, Central Abaco, Bahamas, The",BF,BF37,26.55,-77.0833,-1543188,4,"Dundas Town, Central Abaco, Bahamas, The",BF,BF37,26.55,-77.0833,-1543188,4,"Dundas Town, Central Abaco, Bahamas, The",BF,BF37,26.55,-77.0833,-1543188,20190913,https://thenassauguardian.com/2019/09/13/10000-students-displaced-by-dorian/
873939992,20190912,201909,2019,2019.6904,USA,UNITED STATES,USA,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,0,036,036,03,1,4.0,2,1,2,-3.31491712707182,3,"Freeport, Florida, United States",US,USFL,30.4983,-86.1361,282806,3,"Freeport, Florida, United States",US,USFL,30.4983,-86.1361,282806,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190919,http://www.sun-sentinel.com/news/fl-ne-bahama-woman-20190919-uimf6lqqv5f6zetiyahemqsq6m-story.html
871976002,20190910,201909,2019,2019.6849,GOV,GOVERNMENT,,,,,,GOV,,,CVL,IMMIGRANT,,,,,,CVL,,,1,160,160,16,4,-4.0,3,1,3,-4.26829268292683,5,"Long Island, Long Island, Bahamas, The",BF,BF15,23.2167,-75.1117,-1543651,5,"Long Island, Long Island, Bahamas, The",BF,BF15,23.2167,-75.1117,-1543651,5,"Long Island, Long Island, Bahamas, The",BF,BF15,23.2167,-75.1117,-1543651,20190911,https://thenassauguardian.com/2019/09/11/no-asylum-for-storm-victims/
878683059,20190910,201909,2019,2019.6849,MNCUSA,ROYAL CARIBBEAN,USA,,,,,MNC,,,BHS,BAHAMA,BHS,,,,,,,,1,111,111,11,3,-2.0,8,2,8,3.84615384615384,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,20191010,http://www.sun-sentinel.com/travel/fl-fea-royal-caribbean-launches-beer-brand-funky-buddha-20191010-i2lsl4n2k5f43pglbcjpsxxzhi-story.html
878683060,20190910,201909,2019,2019.6849,MNCUSA,ROYAL CARIBBEAN,USA,,,,,MNC,,,BHS,BAHAMA,BHS,,,,,,,,1,111,111,11,3,-2.0,8,2,8,3.84615384615384,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,3,"Orlando, Florida, United States",US,USFL,28.5383,-81.3792,288240,4,"Cococay, Ragged Island, Bahamas, The",BF,BF18,22.1481,-75.6933,-1543028,20191010,http://www.sun-sentinel.com/travel/fl-fea-royal-caribbean-launches-beer-brand-funky-buddha-20191010-i2lsl4n2k5f43pglbcjpsxxzhi-story.html
871591464,20190909,201909,2019,2019.6822,JAMMIL,JAMAICA,JAM,,,,,MIL,,,JAM,JAMAICA,JAM,,,,,,,,0,060,060,06,2,6.0,10,1,10,1.3803680981595,1,Jamaica,JM,JM,18.25,-77.5,JM,1,Jamaica,JM,JM,18.25,-77.5,JM,4,"Abaco, Central Abaco, Bahamas, The",BF,BF37,26.4667,-77.0833,-1542701,20190910,http://www.tribune242.com/news/2019/sep/09/police-and-defence-force-officers-bring-security/
873145207,20190909,201909,2019,2019.6822,USA,UNITED STATES,USA,,,,,,,,BHS,BAHAMA,BHS,,,,,,,,0,042,042,04,1,1.9,1,1,1,-0.62578222778473,3,"Valrico, Florida, United States",US,USFL,27.9379,-82.2364,292725,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,20190916,https://www.travelweekly.com/Travel-News/Travel-Agent-Issues/Travel-agents-faced-with-faulty-Bahamas-perceptions
873145185,20190909,201909,2019,2019.6822,BHS,BAHAMA,BHS,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,043,043,04,1,2.8,1,1,1,-0.62578222778473,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,3,"Valrico, Florida, United States",US,USFL,27.9379,-82.2364,292725,4,"Paradise Island, Bahamas, The (general), Bahamas, The",BF,BF00,25.0833,-77.3333,-1543934,20190916,https://www.travelweekly.com/Travel-News/Travel-Agent-Issues/Travel-agents-faced-with-faulty-Bahamas-perceptions
878270094,20190909,201909,2019,2019.6822,BHS,BAHAMA,BHS,,,,,,,,JUD,JUDICIAL SYSTEM,,,,,,JUD,,,1,020,020,02,1,3.0,1,1,1,0.54794520547945,3,"Long Island, New York, United States",US,USNY,43.152,-76.061,955858,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,4,"Nassau, New Providence, Bahamas, The",BF,BF23,25.0833,-77.35,-1543832,20191009,https://www.newsday.com/long-island/politics/janet-difiore-new-york-chief-judge-1.37305700
873655606,20190911,201909,2019,2019.6877,GOV,PRESIDENT,,,,,,GOV,,,BHS,BAHAMA,BHS,,,,,,,,1,051,051,05,1,3.4,1,1,1,1.33928571428571,5,"North Eleuthera, North Eleuthera, Bahamas, The",BF,BF48,25.4628,-76.6756,11057049,5,"North Eleuthera, North Eleuthera, Bahamas, The",BF,BF48,25.4628,-76.6756,11057049,5,"North Eleuthera, North Eleuthera, Bahamas, The",BF,BF48,25.4628,-76.6756,11057049,20190918,https://www.local10.com/pets/here-is-how-to-help-bahamian-animal-shelter
