GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
875217969,20190924,201909,2019,2019.7233,,,,,,,,,,,CVL,RESIDENTS,,,,,,CVL,,,1,043,043,04,1,2.8,6,1,4,3.25581395348837,0,,,,,,,4,"Harbour Island, North Eleuthera, Bahamas, The",BF,BF48,25.5,-76.65,-1543191,4,"Harbour Island, North Eleuthera, Bahamas, The",BF,BF48,25.5,-76.65,-1543191,20190925,https://thenassauguardian.com/2019/09/25/briland-club-ruling-expected-on-october-16/
883535544,20191001,201910,2019,2019.7425,,,,,,,,,,,BHS,BAHAMA,BHS,,,,,,,,1,042,042,04,1,1.9,6,1,6,-1.85375901132853,0,,,,,,,4,"Walker Cay, Grand Cay, Bahamas, The",BF,BF42,27.2667,-78.4,-1544409,4,"Walker Cay, Grand Cay, Bahamas, The",BF,BF42,27.2667,-78.4,-1544409,20191031,http://www.thebahamasweekly.com/publish/community/PIMS_Post-Dorian_Coral_Reef_Assessment_a_Mixed_Bag63727.shtml
874551402,20190923,201909,2019,2019.7205,,,,,,,,,,,USA,UNITED STATES OF AMERICA,USA,,,,,,,,0,013,013,01,1,0.4,2,1,2,1.49799050054804,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,4,"Abaco, Central Abaco, Bahamas, The",BF,BF37,26.4667,-77.0833,-1542701,20190923,http://eleutheranews.com/?p=21511
874734731,20190923,201909,2019,2019.7205,,,,,,,,,,,CVL,TOURIST,,,,,,CVL,,,1,042,042,04,1,1.9,4,1,4,0.43383947939263,0,,,,,,,5,"Exuma, Exuma, Bahamas, The",BF,BF10,23.5694,-75.8842,-1543226,5,"Exuma, Exuma, Bahamas, The",BF,BF10,23.5694,-75.8842,-1543226,20190923,http://www.tribune242.com/news/2019/sep/23/pirate-themed-vessel-targets-15m-top-line/
874734732,20190923,201909,2019,2019.7205,,,,,,,,,,,CVL,TOURIST,,,,,,CVL,,,1,043,043,04,1,2.8,4,1,4,0.43383947939263,0,,,,,,,5,"Exuma, Exuma, Bahamas, The",BF,BF10,23.5694,-75.8842,-1543226,5,"Exuma, Exuma, Bahamas, The",BF,BF10,23.5694,-75.8842,-1543226,20190923,http://www.tribune242.com/news/2019/sep/23/pirate-themed-vessel-targets-15m-top-line/
874717259,20190923,201909,2019,2019.7205,,,,,,,,,,,BHS,BAHAMA,BHS,,,,,,,,0,040,040,04,1,1.0,2,1,2,0.54794520547945,0,,,,,,,4,"Green Turtle Cay, Hope Town, Bahamas, The",BF,BF43,26.8333,-77.3833,-1543383,4,"Green Turtle Cay, Hope Town, Bahamas, The",BF,BF43,26.8333,-77.3833,-1543383,20190923,http://www.captivasanibel.com/page/content.detail/id/589036/Island-entity-spearheading-storm-relief.html
874717260,20190923,201909,2019,2019.7205,,,,,,,,,,,BHS,BAHAMA,BHS,,,,,,,,0,042,042,04,1,1.9,6,3,6,0.54794520547945,0,,,,,,,4,"Green Turtle Cay, Hope Town, Bahamas, The",BF,BF43,26.8333,-77.3833,-1543383,4,"Green Turtle Cay, Hope Town, Bahamas, The",BF,BF43,26.8333,-77.3833,-1543383,20190923,http://www.captivasanibel.com/page/content.detail/id/589036/Island-entity-spearheading-storm-relief.html
874622873,20190923,201909,2019,2019.7205,,,,,,,,,,,FRA,PARIS,FRA,,,,,,,,1,036,036,03,1,4.0,2,1,2,-2.43362831858407,0,,,,,,,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190923,https://www.geek.com/news/five-years-ending-in-2019-are-hottest-on-record-so-far-1804861/
874551406,20190923,201909,2019,2019.7205,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,040,040,04,1,1.0,2,1,2,0.783699059561126,0,,,,,,,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190923,http://www.newindianexpress.com/world/2019/sep/23/pm-modi-arrives-in-new-york-for-74th-un-general-assembly-session-2037779.html
874536762,20190923,201909,2019,2019.7205,,,,,,,,,,,USA,SALT LAKE CITY,USA,,,,,,,,0,043,043,04,1,2.8,3,1,3,-1.47058823529411,0,,,,,,,3,"Deseret, Utah, United States",US,USUT,39.2869,-112.653,1427343,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190923,https://www.deseret.com/utah/2019/9/22/20878483/photos-utah-scout-working-toward-his-eagle-sending-care-packages-and-love-to-the-bahamas
